CODE,UZ,RU,EN
9691, 2 градациядаги фолликуляр лимфома,Лимфома фолликулярная градации 2 ,
9695, 1 градациядаги фолликуляр лимфома,Лимфома фолликулярная градации 1 ,
9698, 3 градациядаги фолликуляр лимфома,Лимфома фолликулярная градации 3 ,
9699, Маргинал соҳа В-ҳужайрали лимфомаси,Лимфома В-клеточная маргинальной зоны БДУ ,
9700, Замбуруғли микоз,Микоз грибовидный ,
9701, Сезари синдроми,Синдром Сезари ,
9702, Т-ҳужайрали етилган лимфома ҚА,Лимфома Т-клеточная зрелая БДУ ,
9705, Т-ҳужайрали ангиоиммунобласт лимфома ,Лимфома Т-клеточная ангиоиммунобластная ,
9708, Т-ҳужайрали тери ости панникулитсимон лимфома,Лимфома Т-клеточная подкожная панникулитоподобная ,
9709, Т-ҳужайрали тери лимфомаси ,Лимфома Т-клеточная кожная ,
9714," Т-ҳужайра, нол ҳужайрадан чиққан йирик ҳужайрали анапластик лимфома","Лимфома анапластическая крупноклеточная из Т-клеток, нуль-клеток ",
9716, Гамма-дельта ҳужайрали гепатоспленик лимфома,Лимфома гепатоспленическая гамма-дельта-клеточная ,
9717, Т-ҳужайрали ичак лимфомаси ,Лимфома Т-клеточная кишечная ,
9718, CD30+ Т-ҳужайрали бирламчи лимфопролифератив касаллик тери типи                  ,Заболевание лимфопролиферативное первично кожного типа CD30+ Т-клеточное ,
9719," Т, Е-ҳужайрали назал ва назал типидаги лимфома ","Лимфома из Т, ЕК-клеток назальная и назального типа ",
9727, Ўтмишдош ҳужайралардан чиққан лимфобласт лимфома ҚА                                    ,Лимфома лимфобластная из клеток-предшественников БДУ ,
9728, В-ҳужайралар ўтмишдошларидан чиққан лимфобласт лимфома ҚА                                  ,Лимфома лимфобластная из В-клеток-предшественников БДУ ,
9729, Т-ҳужайралар ўтмишдошларидан чиққан лимфобласт лимфома ҚА                                                                     ,Лимфома лимфобластная из Т-клеток-предшественников БДУ ,
9731, Плазмоцитома ҚА,Плазмоцитома БДУ ,
9732, Кўплаб миелома,Миелома множественная ,
9733, Плазмоҳужайрали лейкоз,Лейкоз плазмоклеточный ,
9734, Экстрамедулляр (суякдан ташқари) плазмоцитома,Плазмоцитома экстрамедуллярная (не костная) ,
9740, Семиз ҳужайрали саркома,Саркома тучноклеточная ,
9741, Хавфли мастоцитоз                                                             ,Мастоцитоз злокачественный ,
9742, Семиз ҳужайрали лейкоз                                                                  ,Лейкоз тучноклеточный ,
9750, Хавфли гистиоцитоз                                                            ,Гистиоцитоз злокачественный ,
9754, Лангерганс ҳужайрасидан чиққан диссеминирланган гистиоцитоз                                    ,"Гистиоцитоз из клеток Лангерганса, диссеменированный ",
9755, Гистиоцитар саркома                                                                 ,Саркома гистиоцитарная ,
9756, Лангерганс ҳужайрасидан чиққан саркома                                                         ,Саркома из клеток Лангерганса ,
9757, Муқоваланган дендритик ҳужайралардан чиққан саркома                                        ,Саркома из переплетающихся дендритических клеток ,
9758, Фолликуляр дендритик ҳужайрадан чиққан саркома                                          ,Саркома из фолликулярных дендритических клеток ,
9760, Иммунопролифератив касаллик ҚА                                                       ,Болезнь иммунопролиферативная БДУ ,
9761, Валденстром макроглобулинемияси                                                          ,Макроглобулинемия Валденстрома ,
9762, Оғир занжир касаллиги ҚА                                                              ,Болезнь тяжелых цепей БДУ ,
9764, Ингичка ичак иммунопролифератив касаллиги                                          ,Болезнь иммунопролиферативная тонкого кишечника ,
9800, Лейкоз ҚА                                                                             ,Лейкоз БДУ ,
9801, Ўткир лейкоз ҚА                                                                       ,Лейкоз острый БДУ ,
9805, Икки фенотипли (бифенотип) ўткир лейкоз                                              ,Лейкоз двуфенотипный (бифенотипный) острый ,
9820, Лимфолейкоз ҚА                                                                         ,Лимфолейкоз БДУ ,
9823, В-ҳужайрали сурункали лимфоцитар лейкоз                                           ,Лейкоз В-клеточный лимфоцитарный хронический ,
9826, Беркитт ҳужайрасидан чиққан лейкоз                                                               ,Лейкоз из клеток Беркитта ,
9827," Катталар Т-ҳужайрали (HTLV-1 позитив) лимфомаси, лейкоз                                   ","Лейкоз, лимфома Т-клеточный взрослых (HTLV-1 позитивный) ",
9832, Пролимфоцитар лейкоз ҚА                                                             ,Лейкоз пролимфоцитарный БДУ ,
9833, В-ҳужайрали пролимфоцитар лейкоз                                               ,Лейкоз В-клеточный пролимфоцитарный ,
9834, Т-ҳужайрали пролимфоцитар лейкоз                                                  ,Лейкоз Т-клеточный пролимфоцитарный ,
9835, Ўтмишдош ҳужайралардан чиққан лимфобласт лейкоз ҚА                                      ,Лейкоз лимфобластный из клеток-предшественников БДУ ,
9836, В-ҳужайралар ўтмишдошларидан чиққан лимфобласт лейкоз                                          ,Лейкоз лимфобластный из В-клеток-предшественников ,
9837, Т-ҳужайралар ўтмишдошларидан чиққан лимфобласт лейкоз                                       ,Лейкоз лимфобластный из Т-клеток-предшественников ,
9840, М6 типдаги миелоид ўткир лейкоз                                                       ,Лейкоз миелоидный острый типа М6 ,
9860, Миелолейкоз ҚА                                                                          ,Миелолейкоз БДУ ,
9861, Ўткир миелолейкоз ҚА                                                                 ,Миелолейкоз острый БДУ ,
9863, Сурункали миелолейкоз                                                             ,Миелолейкоз хронический ,
9866, Промиелоцитар t(15;17)(q22;q11-12)  ўткир лейкоз                                      ,Лейкоз промиелоцитарный острый t(15;17)(q22;q11-12) ,
9867, Миеломоноцитар ўткир лейкоз                                                        ,Лейкоз миеломоноцитарный острый ,
9870, Базофил ўткир лейкоз                                                               ,Лейкоз базофильный острый ,
9871, Ўткир миелоид лейкоз суяк кўмиги аномал эозинофиллари билан,Лейкоз миелоидный острый с аномальными эозинофилами костн.мозга ,
9872, Минимал дифференциаллашган ўткир миелоид лейкоз                                  ,Лейкоз миелоидный острый минимально дифференцированный ,
9873, Ўткир миелоид лейкоз етилиш белгиларисиз                                       ,Лейкоз миелоидный острый без признаков созревания ,
9874, Ўткир миелоид лейкоз етилиш белгилари билан                                       ,Лейкоз миелоидный острый с признаками созревания ,
9875," BCR, ABL позитив сурункали миелоген лейкоз                                       ","Лейкоз миелогенный хронический BCR, ABL позитивный ",
9876," BCR, ABL негатив сурункали атипик миелоид лейкоз                              ","Лейкоз миелоидный атипичный хронический BCR, ABL негативный ",
9891, Ўткир моноцитар лейкоз                                                              ,Лейкоз моноцитарный острый ,
9895, Ўткир миелоид лейкоз мульти чизиқли дисплазия билан                                    ,Лейкоз миелоидный острый с мультилинейной дисплазией ,
9896, Ўткир миелоид лейкоз t(8;21)(q22;q22)                                                 ,Лейкоз миелоидный острый t(8;21)(q22;q22) ,
9897, Ўткир миелоид лейкоз 11q23 аномалияси билан                                           ,Лейкоз миелоидный острый с аномалиями 11q23 ,
9910, Ўткир мегакариобласт лейкоз                                                         ,Лейкоз мегакариобластный острый ,
9920, Даводан кейинги миелоид лейкоз ҚА                                           ,Лейкоз миелоидный обусловленный лечением БДУ ,
9930, Миелоид саркома                                                                      ,Саркома миелоидная ,
9931, Ўткир панмиелоз миелофиброз билан                                                        ,Панмиелоз острый с миелофиброзом ,
9940, Толали ҳужайрали лейкоз                                                                ,Лейкоз волосатоклеточный ,
9945, Сурункали миеломоноцитар лейкоз ҚА                                                ,Лейкоз миеломоноцитарный хронический БДУ ,
9946, Ўсмирлар (ювенил) миеломоноцитар лейкози                                         ,Лейкоз миеломоноцитарный юношеский (ювенильный) ,
9948, Агрессив ЕК-ҳужайрали лейкоз                                                         ,Лейкоз ЕК-клеточный агрессивный ,
9950, Ҳақиқий полицитемия                                                                    ,Полицитемия истинная ,
9960, Сурункали миелопролифератив касаллик ҚА                                           ,Болезнь миелопролиферативная хроническая БДУ ,
9961, Миелосклероз миелоид меетаплазия билан                                                   ,Миелосклероз с миелоидной метаплазией ,
9962, Эссенциал тромбоцитопения                                                             ,Тромбоцитемия эссенциальная ,
9963, Сурункали нейтрофил лейкоз                                                       ,Лейкоз нейтрофильный хронический ,
9964, Гиперэозинофил синдром                                                             ,Синдром гиперэозинофильный ,
9980, Рефрактер камқонлик ҚА                                                                 ,Анемия рефрактерная БДУ ,
9982, Рефрактер камқонлик сидеробластлар билан                                                    ,Анемия рефрактерная с сидеробластами ,
9983, Рефрактер камқонлик бласт ҳужайралар устунлиги билан                                      ,Анемия рефрактерная с избытком бластных клеток ,
9984, Рефрактер камқонлик трансформацияланган бласт ҳужайралар устунлиги билан                       ,Анемия рефрактерная с избытком трансформирующихся бластных клеток ,
9985, Рефрактер цитопения мультипотент (мульти чизиқли) дисплазия билан              ,Цитопения рефрактерная с мультипотентной (мультилинейной) дисплазией ,
9986, Миелодиспластик синдром 5q бузилиш синдроми билан                                ,Синдром миелодиспластический с синдромом  5q разрушения ,
9987, Даводан кейинги миелодиспластик синдром,Синдром миелодиспластический обусловленный лечением ,
9989, Миелодиспластик синдром ҚА,Синдром миелодиспластический БДУ ,
