CODE,UZ,RU,EN
C132, ҳиқилдоқ-ҳалқум орқа девори                                                   ,гортаноглотки задняя стенка         ,
C138, ҳиқилдоқ-ҳалқум кўплаб қисмларининг қўшма зарарланиши                                ,поражение неск-ких смежных частей гортаноглотки       ,
C139, ҳиқилдоқ-ҳалқум ҚА                                                             ,гортаноглотка БДУ          ,
14, ҳалқум                                         ,глотка ,
C140, ҳалқум ҚА                                                                   ,глотка БДУ          ,
C142, Вальдейер ҳалқум халқаси ҚА                                              ,глоточное кольцо Вальдейера БДУ        ,
C148," лаблар, оғиз бўшлиғи ва ҳалқумнинг зарарланиши                                     ","пораж-е отделов губы, полости рта и глотки     ",
15, қизилўнгач                                       ,пищевод ,
C150, қизилўнгач бўйин қисми                                                         ,пищевода шейный отдел         ,
C151, қизилўнгач кўкрак қисми                                                         ,пищевода грудной отдел         ,
C152, қизилўнгач қорин қисми                                                         ,пищевода брюшной отдел         ,
C153, қизилўнгач юқори учлиги                                                        ,пищевода верхняя треть         ,
C154, қизилўнгач ўрта учлиги                                                        ,пищевода средняя треть         ,
C155, қизилўнгач пастки учлиги                                                           ,пищевода нижняя треть         ,
C158, қизилўнгач кўплаб қисмларининг қўшма зарарланиши                                    ,поражение неск-ких смежных отделов пищевода       ,
C159, қизилўнгач ҚА                                                                  ,пищевод БДУ          ,
16, ошқозон                                        ,желудок ,
C160, ошқозон кардияси ҚА                                                           ,кардия желудка БДУ         ,
C161, ошқозон туби                                                                  ,желудка дно          ,
C162, ошқозон танаси                                                                 ,желудка тело          ,
C163, ошқозоннинг 12 бармоқ ичакка ўтадиган қисми                                                   ,желудка привратниковая часть         ,
C164, қорин бўйни                                                                     ,привратник           ,
C165, ошқозон кичик эгрилиги                                                       ,желудка малая кривизна         ,
C166, ошқозон катта эгрилиги                                                     ,желудка большая кривизна         ,
C168, ошқозон кўплаб қисмларининг қўшма зарарланиши                                     ,пораж-е неск-ких смежных отделов желудка       ,
C169, ошқозон ҚА                                                                  ,желудок БДУ          ,
17, ингичка ичак                                  ,тонкая кишка ,
C170, 12 бармоқ ичак                                                      ,кишка двенадцатиперстная          ,
C171, оч ичак                                                                  ,кишка тощая          ,
C172, ёнбош ичак                                                            ,кишка подвздошная          ,
C173, Меккел дивертикули                                                           ,дивертикул Меккеля          ,
C178, ингичка ичак кўплаб қисмларининг қўшма зарарланиши                        ,поражение неск-ких смежных отделов тонкого кишечника      ,
C179, ингичка ичак                                                              ,тонкий кишечник          ,
18, йўғон ичак                              ,ободочная кишка ,
C180, кўр ичак,слепая кишка          ,
C181, чувалчангсимон ўсимта,аппендикс           ,
C182, кўтарилувчи чамбар ичак,восходящая ободочная кишка         ,
C183, йўғон ичак ўнг (жигар) бурилиши,ободочной кишки правый (печеночный) изгиб       ,
C184, кўндаланг чамбар ичак,поперечная ободочная кишка         ,
C185, йўғон ичак чап (талоқ) бурилиши,ободочной кишки левый (селезеночный) изгиб       ,
C186, тушувчи чамбар ичак,нисходящая ободочная кишка         ,
C187, сигмасимон ичак,сигмовидная кишка          ,
C188, йўғон ичак кўплаб қисмларининг қўшма зарарланиши,поражение неск-ких смежных отделов ободочной кишки      ,
C189, йўғон ичак ҚА,ободочная кишка БДУ         ,
19, ректосигмоид бирикма                   ,ректосигмоидное соединение ,
C199, ректосигмоид бирикма,ректосигмоидное соединение          ,
20, тўғри ичак                                   ,прямая кишка ,
C209, тўғри ичак,прямая кишка          ,
21, анал канал                                 ,анальный канал ,
C210, анус,анус           ,
C211, анал канал,анальный канал          ,
C212, клоакоген соҳа,клоакогенная зона          ,
C218, тўғри ичак ва ануснинг кўплаб қисмларининг зарарланиши,поражение нескольких отделов прямой кишки и ануса     ,
22, жигар                                         ,печень ,
C220, жигар,печень           ,
C221, жигар ичи ўт йўли,внутрипеченочный желчный проток         ,
23, ўт пуфаги                                ,желчный пузырь ,
C239, ўт пуфаги,желчный пузырь          ,
24, ўт йўли                                  ,желчные пути ,
C240, жигардан ташқари ўт йўли,внепеченочный желчный проток         ,
C241, жигар-ошқозон ости бези Фатер ампуласи,ампула Фатера печеночно-поджелудочная         ,
C248, ўт йўллари кўплаб қисмларининг зарарланиши,пораж-е неск-х отделов желчевыводящих путей       ,
C249, жигар йўллари ҚА,желчные пути БДУ         ,
25, ошқозон ости бези                           ,поджелудочная железа ,
C250, ошқозон ости бези бошчаси,поджелудочной железы головка         ,
C251, ошқозон ости бези бошчаси,поджелудочной железы тело         ,
C252, ошқозон ости бези думи ,поджелудочной железы хвост         ,
C253, ошқозон ости бези йўли ,поджелудочной железы проток         ,
C254, ошқозон ости бези Лангерганс оролчалари ,островки Лангерганса поджелуд.железы         ,
C257, ошқозон ости безининг бошқа қисмлари,поджелудочной железы др.части         ,
C258, ошқозон ости бези кўплаб қисмларининг қўшма зарарланиши,поражение неск-ких смежных отделов поджелудочной ж-зы      ,
C259, ошқозон ости бези ҚА,поджелудочная железа БДУ         ,
26, ошқозон-ичак тизими                      ,желудочно-кишечный тракт ,
C260, ичаклар ҚА,кишечник БДУ          ,
C268, ҳазм қилиш тизими кўплаб қисмларининг зарарланиши,поражение неск-ких отделов пищеварительной системы       ,
C269, ошқозон-ичак тизими ҚА,желудочно-кишечный тракт БДУ         ,
30, бурун бўшлиғи                                  ,полость носа ,
C300, бурун бўшлиғи ,полость носа          ,
C301, ўрта қулоқ,среднее ухо          ,
31, қўшимча (ёндош) бўшлиқ                            ,придаточная пазуха ,
C310, юқори жағ бўшлиғи,пазуха верхнечелюстная          ,
C311, ғалвирсимон бўшлиқ,пазуха решетчатая          ,
C312, пешона бўшлиғи,пазуха лобная          ,
C313, понасимон бўшлиқ,пазуха клиновидная          ,
C318, қўшимча (ёндош) бўшлиқларнинг қўшма зарарланиши ,поражение неск-ких смежных придаточных пазух       ,
C319, қўшимча (ёндош) бўшлиқлар ҚА ,придаточная пазуха БДУ         ,
32, ҳиқилдоқ                                        ,гортань ,
C320, овоз ёриғи (бойлам соҳаси),голосовая щель          ,
C321, ҳиқилдоқнинг бойлам усти соҳаси ,гортань над голосовой щелью        ,
C322, ҳиқилдоқнинг бойлам ости соҳаси,гортань под голосовой щелью        ,
C323, ҳиқилдоқ тоғайлари,гортани хрящ          ,
C328, ҳиқилдоқ кўплаб қисмларининг қўшма зарарланиши,поражение неск-ких смежных отделов гортани       ,
C329, ҳиқилдоқ ҚА,гортань БДУ          ,
33, трахея                                        ,трахея ,
C339, трахея,трахея           ,
34, бронх ва ўпка                                 ,бронх и легкое ,
C340, бош бронх,главный бронх          ,
C341, ўпканинг юқори бўлаги,легкого верхняя доля         ,
C342, ўпканинг ўрта бўлаги,легкого средняя доля         ,
C343, ўпканинг пастки бўлаги,легкого нижняя доля         ,
C348, ўпка ва бронхнинг кўплаб қисмларининг қўшма зарарланиши ,поражение нескольких смежных отделов легкого или бронха     ,
C349, ўпка ҚА,легкое БДУ          ,
37, айрисимон без                                        ,тимус ,
C379, айрисимон без,тимус           ,
38," юрак,кўкс оралиғи, плевра                    ","сердце, средостение, плевра ",
C380, юрак,сердце           ,
C381, кўкс олд соҳаси ,средостение переднее          ,
C382, кўкс орқа соҳаси,средостение заднее          ,
C383, кўкс оралиғи ҚА,средостение БДУ          ,
C384, плевра ҚА,плевра БДУ          ,
C388," юрак, кўкс оралиғи ва плевранинг кўплаб қўшма зарарланиши","смежное множеств.пораж-е сердца, средостения и плевры      ",
39, нафас йўллари                               ,дыхательные пути ,
